Seconds,Temperature,Pressure,Humidity,Gas resistance,Waterproof temperature,Ammonia
0.9159066677093506,0,997.4,57.185,83978.91998793349,21.062,105
2.0122814178466797,22.43,997.38,57.274,133573.06799170555,21.062,106
2.9161956310272217,22.99,997.37,0,143654.0167832289,21.062,104
4.085611820220947,23.23,997.4,57.059,161680.03775999555,21.062,107
5.223912715911865,23.48,997.4,56.744,167500.50129698185,21.062,106
6.435326814651489,23.47,997.4,56.476,173216.63388978736,21.062,107
7.582338094711304,23.49,997.38,56.203,176130.89070490055,21.062,106
8.73271918296814,23.49,997.37,55.994,179721.53183469753,21.062,101
9.885840654373169,23.53,997.38,55.792,184066.43604674074,21.125,89
11.071449041366577,23.57,997.43,55.569,185698.94994717787,21.125,96
1.3419840335845947,22.1,997.4,57.054,94793.93467920403,21.062,106
2.723349094390869,22.52,997.43,57.014,135299.3693976424,21.062,105
3.624988079071045,0,997.43,0,145779.43875901448,21.062,106
0.99,0,1005.29,59.636,5100.08204205599,21.812,119
2.16,23.03,1005.28,59.887,13605.113345241996,21.812,116
3.19,23.55,1005.32,59.914,0,21.812,117
0.8856503963470459,0,1005.46,58.059,13676.202116588433,21.75,113
2.0104010105133057,22.97,1005.43,58.185,30529.93689149187,21.75,113
1.5203094482421875,22.57,1005.43,57.715,31516.97885875223,21.75,115
2.918473720550537,22.95,1005.46,57.69,48180.3091457457,21.75,114
4.297123908996582,23.29,1005.43,57.52,59554.78410825133,21.75,113
5.805657386779785,23.5,1005.45,57.311,68971.41170672876,21.75,114
7.225388765335083,23.58,1005.44,57.041,76534.84100639627,21.812,114
8.678018569946289,23.63,1005.46,56.847,84147.67334395577,21.812,114
10.084191799163818,23.68,1005.47,56.607,89545.87538743681,21.812,115
0.9202990531921387,0,1005.39,57.512,53334.93630954932,21.812,116
1.988400936126709,23.01,1005.35,57.578,84487.22290996167,21.812,117
3.000192642211914,23.58,1005.38,57.463,0,21.75,116
4.0807695388793945,23.83,1005.38,57.292,104622.61079206802,21.75,118
5.259979009628296,24.01,1005.36,57.012,111592.7715461781,21.812,116
6.280153512954712,24.07,1005.35,0,112947.22935411202,21.75,117
0.969506025314331,22.77,1005.42,56.43,0,21.75,116
2.9428648948669434,23.13,1005.4,56.452,113791.26063716433,21.812,115
5.111907243728638,23.45,1005.41,56.362,121289.42098966807,21.75,117
7.204519033432007,23.59,1005.47,56.173,125845.72917038249,21.75,117
9.331346035003662,23.63,1005.61,56.005,130249.33371708122,21.812,116
1.2596592903137207,22.68,1005.59,56.961,87671.12922920338,21.75,112
3.548597574234009,22.99,1005.5,56.862,111370.18057448165,21.812,114
5.816971063613892,23.2,1005.59,56.694,123891.03251932432,21.812,113
1.2836804389953613,22.84,1005.66,56.527,22538.175146332447,21.812,114
3.806177854537964,23.15,1005.68,56.375,47096.56959564518,22.0,114
1.3790702819824219,22.88,1005.7,56.089,52532.049443748285,22.0,115
4.14,22.79,1005.58,100.0,0,22.0,117
5.62,33.7,0,0,0,22.0,126
7.41,0,706.76,100.0,0,22.0,118
7.71,33.7,0,56.38,0,22.0,118
7.95,23.12,694.42,0,0,22.0,120
8.73,0,1023.36,57.855,0,22.062,118
11.84,22.84,694.27,100.0,0,22.062,117
13.24,0,706.76,56.398,0,22.062,117
14.16,22.84,1023.36,56.437,0,22.062,118
19.32,22.83,1005.58,100.0,0,22.0,116
23.44,22.88,1005.5,56.579,0,22.062,116
26.36,22.84,0,0,0,22.062,117
39.08,22.87,0,56.568,0,22.062,117
40.2,22.91,1005.45,100.0,0,22.062,119
47.58,22.86,0,0,0,22.062,117
50.2,22.93,0,100.0,0,22.062,117
52.39,22.86,1005.58,100.0,0,22.062,117
1.5344669818878174,22.82,1005.49,56.666,27577.418922312263,22.0,114
3.24,22.84,0,56.289,0,22.0,111
5.41,22.89,706.76,100.0,0,22.062,114
10.86,23.17,1005.65,56.229,53883.96929049419,22.0,113
7.82,23.3,1005.64,56.225,0,22.0,112
11.59,0,1005.59,100.0,0,22.062,123
20.55,23.11,0,57.004,0,22.062,113
19.76,33.7,694.55,100.0,0,22.062,115
20.18,33.7,706.76,0,0,0,114
32.06,23.32,706.76,55.547,0,22.062,114
29.1,0,706.76,100.0,0,22.062,115
24.79,0,694.4,100.0,0,22.062,114
40.71,0,706.76,0,0,22.062,113
31.57,0,1005.59,0,0,22.062,115
3.51,22.91,0,56.368,0,22.062,113
7.69,0,1005.61,100.0,0,22.062,116
10.65,23.22,0,100.0,0,22.125,125
15.66,0,0,100.0,0,22.125,116
